industry,country,referral_source,is_trial,churn_flag,plan_tier,seats,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,subscription_age_days,total_upgrades,total_downgrades,total_usage,average_usage,average_usage_duration,total_errors,beta_feature_usage,unique_features_used,total_support_tickets,average_resolution_time,average_first_response_time,average_satisfaction,escalation_count,account_age_days,revenue_per_seat,customer_activity_score,ticket_resolution_efficiency,usage_per_feature,error_rate,satisfaction_index
2,6,4,0,0,0,44,836,10032,1,1,620,1,0,82.0,10.25,3042.0,5.0,1.0,7.0,2.0,23.0,91.0,3.0,0.0,687,19.0,62.0,0.041666666666666664,11.714285714285714,0.06097560975609756,0.125
3,4,3,0,1,2,18,882,10584,1,1,787,3,0,40.0,13.333333333333334,3293.3333333333335,1.0,0.0,3.0,3.0,38.0,73.33333333333333,4.0,0.0,1113,49.0,23.0,0.02564102564102564,13.333333333333334,0.025,0.10256410256410256
1,6,2,0,0,2,2,98,1176,0,1,615,1,1,55.0,11.0,3655.8,4.0,0.0,4.0,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,737,49.0,32.0,0.02238805970149254,13.75,0.07272727272727272,0.10447761194029852
4,5,3,1,0,2,24,1176,14112,1,1,622,2,0,69.0,9.857142857142858,2096.1428571428573,3.0,1.0,6.0,2.0,29.0,174.0,4.0,0.0,1103,49.0,53.0,0.03333333333333333,11.5,0.043478260869565216,0.10817776539426024
4,6,1,0,1,1,109,21691,260292,1,1,611,2,0,117.0,13.0,5213.333333333333,7.0,2.0,9.0,7.0,42.285714285714285,107.85714285714286,3.8,1.0,676,199.0,68.0,0.023102310231023104,13.0,0.05982905982905983,0.08778877887788779
2,4,0,0,0,1,25,0,0,0,1,700,0,0,27.0,9.0,1847.3333333333333,2.0,1.0,3.0,4.0,43.0,74.75,3.0,0.0,1057,0.0,3.0,0.022727272727272728,9.0,0.07407407407407407,0.06818181818181818
0,6,0,0,0,1,26,5174,62088,1,1,641,0,0,44.0,8.8,2615.4,1.0,0.0,5.0,6.0,39.166666666666664,89.83333333333333,3.8,3.0,909,199.0,12.0,0.024896265560165977,8.8,0.022727272727272728,0.0946058091286307
2,6,4,0,0,2,32,1568,18816,0,1,662,0,0,38.0,9.5,2045.5,0.0,0.0,4.0,3.0,42.666666666666664,57.0,4.0,0.0,1237,49.0,23.0,0.022900763358778626,9.5,0.0,0.10817776539426024
0,1,1,0,1,2,12,0,0,0,1,638,1,0,39.0,7.8,1534.0,4.0,1.0,5.0,4.0,32.5,75.25,3.6666666666666665,0.0,723,0.0,11.0,0.029850746268656716,7.8,0.10256410256410256,0.10945273631840795
1,6,4,0,1,2,34,1666,19992,1,1,719,1,0,51.0,10.2,2868.6,1.0,1.0,5.0,3.0,31.333333333333332,71.33333333333333,3.5,0.0,1214,49.0,34.0,0.030927835051546396,10.2,0.0196078431372549,0.10824742268041239
0,6,2,0,1,2,18,882,10584,0,0,611,1,1,50.0,10.0,3648.4,4.0,1.0,5.0,3.0,32.666666666666664,80.66666666666667,5.0,0.0,708,49.0,27.0,0.029702970297029705,10.0,0.08,0.14851485148514854
3,4,2,0,0,0,59,1121,13452,1,1,613,1,0,35.0,11.666666666666666,2081.6666666666665,0.0,1.0,3.0,2.0,20.5,125.5,5.0,0.0,664,19.0,25.0,0.046511627906976744,11.666666666666666,0.0,0.23255813953488372
