account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial,churn_flag,subscription_id,plan_tier_y,seats_y,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,subscription_age_days,total_upgrades,total_downgrades,total_usage,average_usage,average_usage_duration,total_errors,beta_feature_usage,unique_features_used,total_support_tickets,average_resolution_time,average_first_response_time,average_satisfaction,escalation_count,account_age_days,revenue_per_seat,customer_activity_score,ticket_resolution_efficiency,usage_per_feature,error_rate,satisfaction_index
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-3d7bed,Basic,44,836,10032,monthly,True,620,1,0,82.0,10.25,3042.0,5.0,1.0,7.0,2.0,23.0,91.0,3.0,0.0,687,19.0,62.0,0.041666666666666664,11.714285714285714,0.06097560975609756,0.125
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-fa8c75,Pro,18,882,10584,monthly,True,787,3,0,40.0,13.333333333333334,3293.3333333333335,1.0,0.0,3.0,3.0,38.0,73.33333333333333,4.0,0.0,1113,49.0,23.0,0.02564102564102564,13.333333333333334,0.025,0.10256410256410256
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-9c414f,Pro,2,98,1176,annual,True,615,1,1,55.0,11.0,3655.8,4.0,0.0,4.0,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,737,49.0,32.0,0.02238805970149254,13.75,0.07272727272727272,0.10447761194029852
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,S-fccc09,Pro,24,1176,14112,monthly,True,622,2,0,69.0,9.857142857142858,2096.1428571428573,3.0,1.0,6.0,2.0,29.0,174.0,,0.0,1103,49.0,53.0,0.03333333333333333,11.5,0.043478260869565216,
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,S-79d1e0,Enterprise,109,21691,260292,monthly,True,611,2,0,117.0,13.0,5213.333333333333,7.0,2.0,9.0,7.0,42.285714285714285,107.85714285714286,3.8,1.0,676,199.0,68.0,0.023102310231023104,13.0,0.05982905982905983,0.08778877887788779
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,S-afa7a7,Enterprise,25,0,0,annual,True,700,0,0,27.0,9.0,1847.3333333333333,2.0,1.0,3.0,4.0,43.0,74.75,3.0,0.0,1057,0.0,3.0,0.022727272727272728,9.0,0.07407407407407407,0.06818181818181818
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,S-d26ff6,Enterprise,26,5174,62088,monthly,True,641,0,0,44.0,8.8,2615.4,1.0,0.0,5.0,6.0,39.166666666666664,89.83333333333333,3.8,3.0,909,199.0,12.0,0.024896265560165977,8.8,0.022727272727272728,0.0946058091286307
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,S-7b211a,Pro,32,1568,18816,annual,True,662,0,0,38.0,9.5,2045.5,0.0,0.0,4.0,3.0,42.666666666666664,57.0,,0.0,1237,49.0,23.0,0.022900763358778626,9.5,0.0,
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,S-31d765,Pro,12,0,0,annual,True,638,1,0,39.0,7.8,1534.0,4.0,1.0,5.0,4.0,32.5,75.25,3.6666666666666665,0.0,723,0.0,11.0,0.029850746268656716,7.8,0.10256410256410256,0.10945273631840795
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,S-6eb56d,Pro,34,1666,19992,monthly,True,719,1,0,51.0,10.2,2868.6,1.0,1.0,5.0,3.0,31.333333333333332,71.33333333333333,3.5,0.0,1214,49.0,34.0,0.030927835051546396,10.2,0.0196078431372549,0.10824742268041239
