account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial,churn_flag,subscription_id,plan_tier_y,seats_y,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,subscription_age_days,total_upgrades,total_downgrades,total_usage,average_usage,average_usage_duration,total_errors,beta_feature_usage,unique_features_used,total_support_tickets,average_resolution_time,average_first_response_time,average_satisfaction,escalation_count
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-3d7bed,Basic,44,836,10032,monthly,True,620,1,0,82.0,10.25,3042.0,5.0,1.0,7.0,2.0,23.0,91.0,3.0,0.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-fa8c75,Pro,18,882,10584,monthly,True,787,3,0,40.0,13.333333333333334,3293.3333333333335,1.0,0.0,3.0,3.0,38.0,73.33333333333333,4.0,0.0
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,S-9c414f,Pro,2,98,1176,annual,True,615,1,1,55.0,11.0,3655.8,4.0,0.0,4.0,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,S-fccc09,Pro,24,1176,14112,monthly,True,622,2,0,69.0,9.857142857142858,2096.1428571428573,3.0,1.0,6.0,2.0,29.0,174.0,,0.0
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,S-79d1e0,Enterprise,109,21691,260292,monthly,True,611,2,0,117.0,13.0,5213.333333333333,7.0,2.0,9.0,7.0,42.285714285714285,107.85714285714286,3.8,1.0
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,S-afa7a7,Enterprise,25,0,0,annual,True,700,0,0,27.0,9.0,1847.3333333333333,2.0,1.0,3.0,4.0,43.0,74.75,3.0,0.0
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,S-d26ff6,Enterprise,26,5174,62088,monthly,True,641,0,0,44.0,8.8,2615.4,1.0,0.0,5.0,6.0,39.166666666666664,89.83333333333333,3.8,3.0
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,S-7b211a,Pro,32,1568,18816,annual,True,662,0,0,38.0,9.5,2045.5,0.0,0.0,4.0,3.0,42.666666666666664,57.0,,0.0
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,S-31d765,Pro,12,0,0,annual,True,638,1,0,39.0,7.8,1534.0,4.0,1.0,5.0,4.0,32.5,75.25,3.6666666666666665,0.0
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,S-6eb56d,Pro,34,1666,19992,monthly,True,719,1,0,51.0,10.2,2868.6,1.0,1.0,5.0,3.0,31.333333333333332,71.33333333333333,3.5,0.0
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,S-0c63de,Pro,18,882,10584,annual,False,611,1,1,50.0,10.0,3648.4,4.0,1.0,5.0,3.0,32.666666666666664,80.66666666666667,5.0,0.0
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,S-7cd9fa,Basic,59,1121,13452,monthly,True,613,1,0,35.0,11.666666666666666,2081.6666666666665,0.0,1.0,3.0,2.0,20.5,125.5,5.0,0.0
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,S-4fc62f,Enterprise,7,0,0,annual,True,630,2,0,35.0,11.666666666666666,5059.333333333333,3.0,1.0,3.0,3.0,40.333333333333336,68.33333333333333,5.0,1.0
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,S-82c91a,Pro,30,1470,17640,annual,True,632,1,2,44.0,8.8,3705.8,1.0,0.0,5.0,4.0,26.75,95.0,4.0,0.0
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,S-f2ccdd,Enterprise,32,6368,76416,annual,True,612,0,1,9.0,9.0,5238.0,0.0,0.0,1.0,2.0,50.5,118.0,3.0,0.0
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,S-049667,Basic,28,532,6384,annual,True,792,2,0,108.0,12.0,4890.777777777777,5.0,1.0,9.0,2.0,24.5,30.5,4.0,0.0
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,S-3eb56d,Pro,15,735,8820,annual,True,611,0,0,40.0,8.0,2496.0,5.0,0.0,4.0,6.0,50.166666666666664,94.83333333333333,4.25,1.0
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,S-2f138c,Pro,29,1421,17052,annual,True,768,0,0,108.0,12.0,3425.777777777778,1.0,3.0,8.0,6.0,41.666666666666664,79.16666666666667,3.5,0.0
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,S-a3791c,Enterprise,18,3582,42984,monthly,True,625,0,1,38.0,9.5,1707.75,0.0,1.0,4.0,5.0,36.0,59.0,3.6,0.0
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,S-460deb,Enterprise,22,4378,52536,annual,False,645,3,0,86.0,10.75,4111.75,6.0,0.0,8.0,3.0,26.0,108.66666666666667,4.0,1.0
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,S-65731a,Basic,9,0,0,annual,True,627,3,1,51.0,10.2,4390.0,1.0,0.0,5.0,4.0,14.25,97.75,4.666666666666667,1.0
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,S-62b4fc,Basic,8,152,1824,monthly,True,613,1,1,16.0,8.0,2720.0,1.0,0.0,2.0,9.0,31.333333333333332,81.88888888888889,4.0,1.0
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,S-99efdc,Enterprise,17,3383,40596,annual,True,623,2,0,66.0,13.2,5166.2,9.0,0.0,4.0,3.0,31.333333333333332,76.66666666666667,3.3333333333333335,0.0
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,S-f9ec8f,Basic,86,1634,19608,annual,True,700,0,0,64.0,9.142857142857142,1918.7142857142858,5.0,2.0,7.0,3.0,57.666666666666664,108.33333333333333,4.0,0.0
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,S-c5f3d4,Pro,5,0,0,annual,True,650,0,1,76.0,10.857142857142858,2784.8571428571427,9.0,1.0,7.0,,,,,
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,S-33598f,Enterprise,26,5174,62088,annual,True,663,2,0,58.0,11.6,3454.6,4.0,1.0,4.0,5.0,34.0,59.6,4.5,0.0
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,S-c0ca82,Pro,19,931,11172,annual,True,640,0,1,67.0,11.166666666666666,2942.0,4.0,0.0,6.0,2.0,33.0,120.5,,0.0
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,S-22be2c,Enterprise,49,9751,117012,monthly,True,627,3,0,38.0,12.666666666666666,2760.6666666666665,1.0,0.0,3.0,4.0,49.75,119.0,5.0,0.0
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,S-9464f8,Basic,26,494,5928,monthly,True,681,0,0,46.0,9.2,3426.6,4.0,0.0,5.0,4.0,34.0,126.5,4.0,0.0
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,S-d6f31b,Enterprise,20,3980,47760,monthly,True,669,1,0,71.0,10.142857142857142,2890.8571428571427,2.0,2.0,7.0,2.0,61.5,27.0,3.5,0.0
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,S-467918,Pro,34,1666,19992,monthly,False,623,2,1,73.0,9.125,3374.25,5.0,0.0,7.0,5.0,24.8,102.8,4.0,1.0
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,S-41128b,Enterprise,16,3184,38208,monthly,True,659,2,1,62.0,12.4,3791.6,2.0,0.0,5.0,5.0,45.4,91.8,3.6666666666666665,0.0
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,S-6b534f,Enterprise,14,2786,33432,monthly,True,611,0,0,72.0,12.0,3961.3333333333335,4.0,1.0,6.0,3.0,43.0,84.0,3.0,0.0
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,S-d7c21d,Basic,15,285,3420,monthly,True,625,2,0,48.0,9.6,2522.0,3.0,1.0,3.0,6.0,23.666666666666668,90.16666666666667,4.0,0.0
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,S-6bdda7,Pro,37,1813,21756,monthly,True,822,2,0,76.0,9.5,3545.0,1.0,2.0,8.0,1.0,27.0,49.0,4.0,0.0
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,S-df3e3d,Enterprise,13,0,0,annual,True,646,0,0,51.0,10.2,3249.4,1.0,0.0,5.0,7.0,40.857142857142854,76.14285714285714,4.6,0.0
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,S-57800a,Basic,5,95,1140,annual,True,725,0,0,26.0,8.666666666666666,2340.0,0.0,0.0,2.0,8.0,30.75,82.5,4.25,1.0
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,S-a50803,Basic,66,0,0,annual,True,619,2,1,70.0,11.666666666666666,3652.0,8.0,0.0,6.0,4.0,64.0,110.0,4.0,0.0
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,S-676254,Pro,20,980,11760,annual,True,611,0,0,63.0,10.5,3645.8333333333335,2.0,0.0,6.0,5.0,44.2,100.8,4.8,0.0
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,S-94fa70,Pro,41,2009,24108,monthly,True,612,0,1,71.0,10.142857142857142,2568.8571428571427,0.0,1.0,7.0,5.0,27.2,109.4,4.0,0.0
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,S-e5bed6,Pro,58,2842,34104,annual,True,649,2,0,41.0,8.2,2076.2,5.0,1.0,5.0,4.0,20.0,108.5,4.0,0.0
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,S-2cb298,Enterprise,2,398,4776,annual,True,622,3,0,70.0,11.666666666666666,3880.8333333333335,2.0,0.0,6.0,3.0,40.333333333333336,136.33333333333334,4.333333333333333,0.0
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,S-b2cfac,Enterprise,34,6766,81192,monthly,False,618,2,0,32.0,10.666666666666666,2610.3333333333335,1.0,0.0,3.0,1.0,36.0,135.0,3.0,0.0
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,S-104053,Pro,35,1715,20580,monthly,True,622,4,0,61.0,7.625,2659.625,5.0,1.0,8.0,2.0,12.0,78.0,4.5,0.0
